problem,obs,metric,scores,real_goal,pred_goal,correct,correct_num
output/hanoi_gr4/,0.5,KL2,"[0.4807841255376714, 2.3173861790131034, 4.068756291115769, 3.569276944444399]",0,0,True,1
output/hanoi_gr4/,0.7,MaxUtil,"[-1.499839999999999, -0.0070202686512745565, -0.24949934161119067, -0.251533677505996]",0,0,True,1
output/hanoi_gr4/,0.7,DP,"[-5, 0, 0, 0]",0,0,True,1
output/hanoi_gr4/,0.7,KL,"[0.4969411693700968, 2.2747730332789957, 4.126196003057119, 3.7742261216457136]",0,0,True,1
output/hanoi_gr4/,0.7,KL2,"[0.4968508102130003, 2.2746283898855326, 4.125998246804995, 3.774038285226299]",0,0,True,1
output/hanoi_gr4/,1.0,MaxUtil,"[-1.6598399999999986, -0.008284656606355568, -0.2563839802051016, -0.25946571450631106]",0,0,True,1
output/hanoi_gr4/,1.0,DP,"[-6, 0, 0, 0]",0,0,True,1
output/hanoi_gr4/,1.0,KL,"[0.5210419793230007, 2.3022440324028444, 4.018408919170771, 3.700458668693908]",0,0,True,1
output/hanoi_gr4/,1.0,KL2,"[0.5209508372512258, 2.302098565690613, 4.018214330575726, 3.7002730248748965]",0,0,True,1
output/hanoi_gr5/,0.1,MaxUtil,"[-0.15999999999999978, -0.0007875882360430433, -0.003032544383419449, -0.0003751736010720072]",0,0,True,1
output/hanoi_gr5/,0.1,DP,"[-1, 0, 0, 0]",0,0,True,1
output/hanoi_gr5/,0.1,KL,"[0.6415460290852082, 2.9345538498134167, 2.2021058956936677, 3.8354557644163108]",0,0,True,1
output/hanoi_gr5/,0.1,KL2,"[0.6414509724400426, 2.9343896998217702, 2.2019641139134185, 3.8352657652561537]",0,0,True,1
output/hanoi_gr5/,0.3,MaxUtil,"[-1.0296959999999995, -0.012359740407251022, -0.013525425837633286, -0.02977026121421592]",0,0,True,1
output/hanoi_gr5/,0.3,DP,"[-3, 0, 0, 0]",0,0,True,1
output/hanoi_gr5/,0.3,KL,"[0.7103629819668288, 3.071393619064166, 2.9321321068361663, 3.206592190709138]",0,0,True,1
output/hanoi_gr5/,0.3,KL2,"[0.7102656266212667, 3.0712260970657614, 2.931968685877321, 3.2064206273362514]",0,0,True,1
output/hanoi_gr5/,0.5,MaxUtil,"[-1.0399359999999993, -0.01645574001217092, -0.01762142235319828, -0.04001026119996644]",0,0,True,1
output/hanoi_gr5/,0.5,DP,"[-4, 0, 0, 0]",0,0,True,1
output/hanoi_gr5/,0.5,KL,"[0.6329067188707798, 3.124895800095482, 3.0204499077780147, 3.2262946981862086]",0,0,True,1
output/hanoi_gr5/,0.5,KL2,"[0.6328118954870121, 3.124726565513056, 3.0202837489681924, 3.226122432573817]",0,0,True,1
output/hanoi_gr5/,0.7,MaxUtil,"[-0.6383359999999992, -0.016782943697181144, -0.022502659608438298, -0.037874303241923125]",0,0,True,1
output/hanoi_gr5/,0.7,DP,"[-5, 0, 0, 0]",0,0,True,1
output/hanoi_gr5/,0.7,KL,"[0.5382313413451504, 3.036311837052149, 2.585273066605056, 3.624265201716047]",0,0,True,1
output/hanoi_gr5/,0.7,KL2,"[0.5381396029678074, 3.0361450278621365, 2.5851196762737465, 3.624081184317519]",0,0,True,1
output/hanoi_gr5/,1.0,MaxUtil,"[-1.6639359999999987, -0.01890268410443218, -0.025788085446071668, -0.042044564456139084]",0,0,True,1
output/hanoi_gr5/,1.0,DP,"[-7, 0, 0, 0]",0,0,True,1
output/hanoi_gr5/,1.0,KL,"[0.5677498233906424, 3.050192274727827, 2.6683382191679033, 3.5281012087641708]",0,0,True,1
output/hanoi_gr5/,1.0,KL2,"[0.5676571369367845, 3.050025122047656, 2.6681824089751878, 3.5279200324888538]",0,0,True,1
output/hanoi_gr6/,0.1,MaxUtil,"[-1.0016383999999994, -0.0, -0.12973566582617843, -1.2097143493697762e-09]",0,0,True,1
output/hanoi_gr6/,0.1,DP,"[-2, 0, -1, 0]",0,0,True,1
output/hanoi_gr6/,0.1,KL,"[0.5210418167224977, nan, 1.299547764643565, 8.885241999600966]",0,0,True,1
output/hanoi_gr6/,0.1,KL2,"[0.5209271104194092, 0.0, 1.299400418801199, 4.442391556155542]",0,1,False,0
output/hanoi_gr6/,0.3,MaxUtil,"[-0.4647140802559995, -9.253182460410345e-07, -0.2227035233838887, -1.4000165022420215e-06]",0,0,True,1
output/hanoi_gr6/,0.3,DP,"[-5, 0, -5, 0]",0,2,False,0
output/hanoi_gr6/,0.3,KL,"[0.49694115946078493, 3.5729724750632554, 0.6715251605256365, 3.3508690529345784]",0,0,True,1
output/hanoi_gr6/,0.3,KL2,"[0.4968275252755346, 1.4290919949475556, 0.6714039174045896, 2.010381503241718]",0,0,True,1
output/hanoi_gr6/,0.5,MaxUtil,"[-1.0749634754969593, -3.0375234537253003e-06, -0.2030607413231383, -3.546089101247849e-06]",0,0,True,1
output/hanoi_gr6/,0.5,DP,"[-8, 0, -7, 0]",0,0,True,1
output/hanoi_gr6/,0.5,KL,"[0.5015270301431203, 2.790184450679801, 0.6961535235418621, 6.041775981983072]",0,0,True,1
output/hanoi_gr6/,0.5,KL2,"[0.5014151852019602, 1.3949892012537437, 0.6960335187156026, 4.531076768287605]",0,0,True,1
output/hanoi_gr6/,0.7,MaxUtil,"[-0.6659608631705591, -1.8756404454261992e-06, -0.32795030604382824, -2.4385486848673736e-06]",0,0,True,1
output/hanoi_gr6/,0.7,DP,"[-11, 0, -9, 0]",0,0,True,1
output/hanoi_gr6/,0.7,KL,"[0.5178042279658295, 4.345995970494952, 0.7173358790622263, 7.350109931953051]",0,0,True,1
output/hanoi_gr6/,0.7,KL2,"[0.5176911153209635, 1.185195387466822, 0.7172142604481224, 4.677090558576958]",0,0,True,1
output/hanoi_gr6/,1.0,MaxUtil,"[-1.6666648770969585, -3.039037776664055e-06, -0.4567515857964066, -3.906020722877246e-06]",0,0,True,1
output/hanoi_gr6/,1.0,DP,"[-15, 0, -12, 0]",0,0,True,1
output/hanoi_gr6/,1.0,KL,"[0.5186676054679557, 3.989957147556852, 0.7687916100937285, 6.143696584018664]",0,0,True,1
output/hanoi_gr6/,1.0,KL2,"[0.5185540678466868, 1.3298981133982337, 0.7686674828230798, 4.095566370970458]",0,0,True,1
output/hanoi_gr7/,0.1,MaxUtil,"[-1.1599999999999993, -0.0, -0.0, -0.20864632145212358]",0,0,True,1
output/hanoi_gr7/,0.1,DP,"[-2, 0, 0, 0]",0,0,True,1
output/hanoi_gr7/,0.1,KL,"[0.6415460050253642, nan, nan, 2.0149024294068227]",0,0,True,1
output/hanoi_gr7/,0.1,KL2,"[0.6414259380943441, 0.0, -9.965784284662086e-06, 2.0147247222917417]",0,2,False,0
output/hanoi_gr7/,0.3,MaxUtil,"[-0.07835546157055985, -2.123343069271376e-06, -2.1117017320012883e-06, -0.07835546157055985]",0,3,False,0
output/hanoi_gr7/,0.3,DP,"[-5, 0, 0, -5]",0,3,False,0
output/hanoi_gr7/,0.3,KL,"[0.5139189488715192, 1.9965845724534086, 19.95648971537937, 0.5139189486449678]",0,3,False,0
output/hanoi_gr7/,0.3,KL2,"[0.5138077486239333, 0.7985621826956437, 19.95558160777559, 0.5138077483973917]",0,3,False,0
output/hanoi_gr7/,0.5,MaxUtil,"[-1.1043097124863992, -1.1358576321933944e-06, -1.1937605437728176e-06, -0.24895603393892782]",0,0,True,1
output/hanoi_gr7/,0.5,DP,"[-8, 0, 0, -7]",0,0,True,1
output/hanoi_gr7/,0.5,KL,"[0.521041973284122, 4.576796088968941, 16.720584440479126, 0.6991400672565646]",0,0,True,1
output/hanoi_gr7/,0.5,KL2,"[0.5209272669743091, 1.7161896692874814, 14.62983032228199, 0.6990178910232472]",0,0,True,1
output/hanoi_gr7/,0.7,MaxUtil,"[-1.6619041218559987, -1.3594506971743692e-06, -1.4255295606909426e-06, -0.47044607433253927]",0,0,True,1
output/hanoi_gr7/,0.7,DP,"[-11, 0, 0, -8]",0,0,True,1
output/hanoi_gr7/,0.7,KL,"[0.5100870613248489, 4.4299352573374655, 15.259072067638614, 0.8382468418941064]",0,0,True,1
output/hanoi_gr7/,0.7,KL2,"[0.509972842344236, 1.6107813503066404, 11.096981828066811, 0.8381187222976567]",0,0,True,1
output/hanoi_gr7/,1.0,MaxUtil,"[-1.6666648770969585, -3.5084885036864472e-06, -3.5988238142142777e-06, -0.47520682957349925]",0,0,True,1
output/hanoi_gr7/,1.0,DP,"[-15, 0, 0, -12]",0,0,True,1
output/hanoi_gr7/,1.0,KL,"[0.5186676326197613, 3.9033773181242353, 11.544486111697724, 0.7593181383169786]",0,0,True,1
output/hanoi_gr7/,1.0,KL2,"[0.5185540949973225, 1.8214540065880795, 9.235134913004627, 0.7591944069095952]",0,0,True,1
output/hanoi_gr8/,0.1,MaxUtil,"[-0.004102710886399991, -0.004102710886399991, -1.0610106787828457e-06, -1.0736921958097319e-06]",0,1,False,0
output/hanoi_gr8/,0.1,DP,"[-2, -2, 0, 0]",0,1,False,0
output/hanoi_gr8/,0.1,KL,"[0.5210419793168957, 0.5210419793107601, 2.1826526925691585, 6.876195727837072]",0,1,False,0
output/hanoi_gr8/,0.1,KL2,"[0.5209272730068213, 0.5209272730006861, 1.0912336016881519, 6.875822656604694]",0,1,False,0
output/hanoi_gr8/,0.3,MaxUtil,"[-0.17461492121599975, -0.07861492121283353, -7.344130708824383e-07, -1.1312654629142445e-06]",0,0,True,1
output/hanoi_gr8/,0.3,DP,"[-5, -4, 0, 0]",0,0,True,1
output/hanoi_gr8/,0.3,KL,"[0.5451427892751596, 0.8095284082702223, 26.911900882776184, 7.330209653109921]",0,0,True,1
output/hanoi_gr8/,0.3,KL2,"[0.5450270108406874, 0.8094015256397522, 10.76428865841169, 7.329817242095501]",0,0,True,1
