problem,obs,metric,scores,real_goal,pred_goal,correct
output/skgrid_gr8/,0.3,KL2,"[(0, 0.23384166156635036), (1, 0.6803966201450546), (3, 0.8803262765559765), (2, 1.6807374451726558)]",0,0,True
output/skgrid_gr8/,0.5,MaxUtil,"[(3, -1.1712869234440626), (0, -1.0688636136113447), (1, -0.4685147693776891), (2, -0.21892203824634182)]",0,3,False
output/skgrid_gr8/,0.5,DP,"[(0, -12), (1, -9), (3, -9), (2, -7)]",0,0,True
output/skgrid_gr8/,0.5,KL,"[(3, 0.20796664412000027), (1, 0.20796665354144128), (0, 0.20861253024362425), (2, 1.6501244566897217)]",0,3,False
output/skgrid_gr8/,0.5,KL2,"[(0, 0.2085905706186488), (3, 0.6559424953570672), (1, 0.6559425024230826), (2, 1.2375715458996555)]",0,0,True
output/skgrid_gr8/,0.7,MaxUtil,"[(0, -1.2402891407436276), (1, -1.1921631625936873), (2, -0.5750176945407222), (3, -0.4804079063405486)]",0,0,True
output/skgrid_gr8/,0.7,DP,"[(0, -17), (1, -12), (3, -11), (2, -7)]",0,0,True
output/skgrid_gr8/,0.7,KL,"[(0, 0.32816824006740253), (3, 0.37216022255653664), (1, 0.3745250363528559), (2, 2.112501950469285)]",0,0,True
output/skgrid_gr8/,0.7,KL2,"[(0, 0.32814281092888253), (1, 0.8525681010027357), (3, 0.9466526417759877), (2, 1.4911537998205897)]",0,0,True
output/skgrid_gr8/,1.0,MaxUtil,"[(0, -1.6666665668155756), (1, -1.6666663803355108), (3, -1.6666659506951076), (2, -0.8747488103157276)]",0,0,True
output/skgrid_gr8/,1.0,DP,"[(0, -24), (1, -17), (3, -16), (2, -9)]",0,0,True
output/skgrid_gr8/,1.0,KL,"[(0, 0.3181749874366318), (3, 0.3577266154361525), (1, 0.36024493149867076), (2, 2.3461133289080944)]",0,0,True
output/skgrid_gr8/,1.0,KL2,"[(0, 0.3181483884165522), (1, 0.838467952938157), (3, 0.9051111693031025), (2, 1.6618046875168206)]",0,0,True
output/skgrid_gr9/,0.1,MaxUtil,"[(2, -0.39999999999999963), (3, -0.0019005439999999112), (1, -0.0007602175999999976), (0, -4.865392639948421e-05)]",0,2,False
output/skgrid_gr9/,0.1,DP,"[(0, -2), (1, -2), (3, -2), (2, -1)]",0,3,False
output/skgrid_gr9/,0.1,KL,"[(1, 0.7002689647700135), (3, 0.7002689647919771), (0, 0.7002689648195104), (2, 0.9999999999988)]",0,1,False
output/skgrid_gr9/,0.1,KL2,"[(1, 0.7002361829257542), (3, 0.7002361829477177), (0, 0.7002361829752508), (2, 1.4999548087836307)]",0,1,False
output/skgrid_gr9/,0.3,MaxUtil,"[(0, -1.0648021606399993), (1, -1.0125337599999995), (2, -0.08531242106978933), (3, -0.031334399999999936)]",0,0,True
output/skgrid_gr9/,0.3,DP,"[(0, -5), (1, -4), (3, -3), (2, 0)]",0,0,True
output/skgrid_gr9/,0.3,KL,"[(0, 0.3632553047375232), (1, 0.4005379295671778), (3, 0.4005379295837283), (2, 6.3086317160876)]",0,0,True
output/skgrid_gr9/,0.3,KL2,"[(0, 0.36321945269634376), (1, 0.7203860758638193), (3, 1.0402735262117102), (2, 3.323404025534844)]",0,0,True
output/skgrid_gr9/,0.5,MaxUtil,"[(2, -1.4939924168511594), (3, -1.0808919039999991), (1, -0.4323567615999996), (0, -0.02767083274239943)]",0,2,False
output/skgrid_gr9/,0.5,DP,"[(0, -7), (1, -7), (3, -7), (2, -2)]",0,3,False
output/skgrid_gr9/,0.5,KL,"[(0, 0.4831248140266845), (1, 0.48312481421392345), (3, 0.483124814218753), (2, 3.5519720134470583)]",0,0,True
output/skgrid_gr9/,0.5,KL2,"[(0, 0.4830874267311342), (1, 0.48308742691837125), (3, 0.48308742692320067), (2, 2.8227924937476856)]",0,0,True
output/skgrid_gr9/,0.7,MaxUtil,"[(2, -1.4941424040237647), (1, -1.1065967615999992), (3, -0.2664919039999995), (0, -0.23082219274239912)]",0,2,False
output/skgrid_gr9/,0.7,DP,"[(0, -10), (1, -9), (3, -8), (2, -2)]",0,0,True
output/skgrid_gr9/,0.7,KL,"[(0, 0.4583487486937784), (1, 0.4647721731776379), (3, 0.472801453640661), (2, 6.619748402797591)]",0,0,True
output/skgrid_gr9/,0.7,KL2,"[(0, 0.45831078637449735), (3, 0.5782010132233552), (1, 0.6182545116662899), (2, 4.833779103460705)]",0,0,True
output/skgrid_gr9/,1.0,MaxUtil,"[(0, -1.6666621927423981), (1, -1.6665967615999988), (3, -1.6664919039999986), (2, -1.4941424040237647)]",0,0,True
output/skgrid_gr9/,1.0,DP,"[(0, -14), (1, -11), (3, -10), (2, -2)]",0,0,True
output/skgrid_gr9/,1.0,KL,"[(0, 0.4269908716476948), (1, 0.4680986058214413), (3, 0.47485467345525445), (2, 6.619748402797591)]",0,0,True
output/skgrid_gr9/,1.0,KL2,"[(0, 0.4269537854668991), (3, 0.6248546920036294), (1, 0.7963183200910177), (2, 3.7384010257197398)]",0,0,True
output/skgrid_gr10/,0.1,MaxUtil,"[(2, -1.000000087786454), (3, -0.06465535999999987), (0, -0.02586214399999995), (1, -0.0016551772159999947)]",0,2,False
output/skgrid_gr10/,0.1,DP,"[(0, -2), (1, -2), (3, -2), (2, -1)]",0,3,False
output/skgrid_gr10/,0.1,KL,"[(1, 0.30733136746025785), (0, 0.30733136746827444), (3, 0.3073313674682758), (2, 7.492510671052296)]",0,1,False
output/skgrid_gr10/,0.1,KL2,"[(1, 0.30730069341928784), (0, 0.3073006934273045), (3, 0.3073006934273057), (2, 7.492460846415978)]",0,1,False
output/skgrid_gr10/,0.3,MaxUtil,"[(0, -1.0687513599999994), (3, -0.17187839999999976), (1, -0.06840008703999986), (2, -0.0066590423461735946)]",0,0,True
output/skgrid_gr10/,0.3,DP,"[(0, -4), (1, -4), (3, -3), (2, 0)]",0,1,False
