problem,obs,metric,scores,real_goal,pred_goal,correct
output/hanoi_gr4/,0.5,MaxUtil,"[(0, -0.5702399999999994), (3, -0.16986564070172036), (2, -0.1675286451352972), (1, -0.004101780954039591)]",0,0,True
output/hanoi_gr4/,0.5,DP,"[(0, -3), (1, 0), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr4/,0.5,KL,"[(0, 0.48087396275164956), (1, 2.317532099248441), (3, 3.569459181489639), (2, 4.068952937841968)]",0,0,True
output/hanoi_gr4/,0.5,KL2,"[(0, 0.4807841255376714), (1, 2.3173861790131034), (3, 3.569276944444399), (2, 4.068756291115769)]",0,0,True
output/hanoi_gr4/,0.7,MaxUtil,"[(0, -1.499839999999999), (3, -0.251533677505996), (2, -0.24949934161119067), (1, -0.0070202686512745565)]",0,0,True
output/hanoi_gr4/,0.7,DP,"[(0, -5), (1, 0), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr4/,0.7,KL,"[(0, 0.4969411693700968), (1, 2.2747730332789957), (3, 3.7742261216457136), (2, 4.126196003057119)]",0,0,True
output/hanoi_gr4/,0.7,KL2,"[(0, 0.4968508102130003), (1, 2.2746283898855326), (3, 3.774038285226299), (2, 4.125998246804995)]",0,0,True
output/hanoi_gr4/,1.0,MaxUtil,"[(0, -1.6598399999999986), (3, -0.25946571450631106), (2, -0.2563839802051016), (1, -0.008284656606355568)]",0,0,True
output/hanoi_gr4/,1.0,DP,"[(0, -6), (1, 0), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr4/,1.0,KL,"[(0, 0.5210419793230007), (1, 2.3022440324028444), (3, 3.700458668693908), (2, 4.018408919170771)]",0,0,True
output/hanoi_gr4/,1.0,KL2,"[(0, 0.5209508372512258), (1, 2.302098565690613), (3, 3.7002730248748965), (2, 4.018214330575726)]",0,0,True
output/hanoi_gr5/,0.1,MaxUtil,"[(0, -0.15999999999999978), (2, -0.003032544383419449), (1, -0.0007875882360430433), (3, -0.0003751736010720072)]",0,0,True
output/hanoi_gr5/,0.1,DP,"[(0, -1), (1, 0), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr5/,0.1,KL,"[(0, 0.6415460290852082), (2, 2.2021058956936677), (1, 2.9345538498134167), (3, 3.8354557644163108)]",0,0,True
output/hanoi_gr5/,0.1,KL2,"[(0, 0.6414509724400426), (2, 2.2019641139134185), (1, 2.9343896998217702), (3, 3.8352657652561537)]",0,0,True
output/hanoi_gr5/,0.3,MaxUtil,"[(0, -1.0296959999999995), (3, -0.02977026121421592), (2, -0.013525425837633286), (1, -0.012359740407251022)]",0,0,True
output/hanoi_gr5/,0.3,DP,"[(0, -3), (1, 0), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr5/,0.3,KL,"[(0, 0.7103629819668288), (2, 2.9321321068361663), (1, 3.071393619064166), (3, 3.206592190709138)]",0,0,True
