problem,obs,metric,scores,real_goal,pred_goal,correct,correct_num
output/blocks_gr6/,0.3,MaxUtil,"[-0.035839999999999934, -0.002180946883923135, -0.0022389075241483927, -0.014304692316120124]",0,0,True,1
output/blocks_gr6/,0.3,DP,"[-2, 0, 0, 0]",0,0,True,1
output/blocks_gr6/,0.3,KL,"[0.7136958147192022, 4.254014264643889, 4.199567262600805, 3.362176364016627]",0,0,True,1
output/blocks_gr6/,0.3,KL2,"[0.7135562021977409, 4.253750893073102, 4.1993057938497405, 3.3619440594758245]",0,0,True,1
output/blocks_gr6/,0.5,MaxUtil,"[-0.5855999999999993, -0.0008710423927364762, -0.0006050166271808894, -0.004146516076596078]",0,0,True,1
output/blocks_gr6/,0.5,DP,"[-3, 0, 0, 0]",0,0,True,1
output/blocks_gr6/,0.5,KL,"[0.5599436400890019, 4.649184219883435, 6.196481741461743, 6.414639071625518]",0,0,True,1
output/blocks_gr6/,0.5,KL2,"[0.5598254722874794, 4.648926028979894, 6.196171245894193, 6.414320477366541]",0,0,True,1
output/blocks_gr6/,0.7,MaxUtil,"[-1.2598399999999992, -0.0036730301268524546, -0.002312678109501051, -0.015424231179032114]",0,0,True,1
output/blocks_gr6/,0.7,DP,"[-5, 0, 0, 0]",0,0,True,1
output/blocks_gr6/,0.7,KL,"[0.591824782146069, 4.142291453400695, 6.466271108229655, 5.5261370510759]",0,0,True,1
output/blocks_gr6/,0.7,KL2,"[0.5917022694714456, 4.142047494039085, 6.465948386532032, 5.525843984123979]",0,0,True,1
output/blocks_gr6/,1.0,MaxUtil,"[-1.6598399999999986, -0.003701649126742735, -0.002312944453155737, -0.015425266873292898]",0,0,True,1
output/blocks_gr6/,1.0,DP,"[-6, 0, 0, 0]",0,0,True,1
output/blocks_gr6/,1.0,KL,"[0.5599436400523455, 4.35505665041686, 6.63526750874155, 6.1672116823685625]",0,0,True,1
output/blocks_gr6/,1.0,KL2,"[0.5598254722508246, 4.354809115189486, 6.634942299928447, 6.166901039191877]",0,0,True,1
output/blocks_gr7/,0.1,MaxUtil,"[-0.06399934841299633, -2.578802122582457e-06, -2.0756538974131766e-06, -0.0]",0,0,True,1
output/blocks_gr7/,0.1,DP,"[-1, 0, 0, 0]",0,0,True,1
output/blocks_gr7/,0.1,KL,"[1.2141326487200776, 9.812673185169325, 7.341070339867217, nan]",0,0,True,1
output/blocks_gr7/,0.1,KL2,"[1.2139569147801497, 9.812108075219017, 7.340605750922022, -1.9931568569324173e-05]",0,3,False,0
output/blocks_gr7/,0.3,MaxUtil,"[-0.40573414923585915, -0.08747704522267276, -4.8765437571157935e-05, -4.831227408200847e-05]",0,0,True,1
output/blocks_gr7/,0.3,DP,"[-3, 0, 0, 0]",0,0,True,1
output/blocks_gr7/,0.3,KL,"[0.8212056174991841, 5.534873352503396, 4.278585442144146, 4.004136028394094]",0,0,True,1
output/blocks_gr7/,0.3,KL2,"[0.8210336871913236, 5.534479336108741, 4.278257216152322, 2.669197488047415]",0,0,True,1
output/blocks_gr7/,0.5,MaxUtil,"[-1.4680952614591436, -0.023479631418430385, -1.1348606533333284e-05, -6.371179404291287e-06]",0,0,True,1
output/blocks_gr7/,0.5,DP,"[-4, 0, 0, 0]",0,0,True,1
output/blocks_gr7/,0.5,KL,"[0.6687333512345774, 7.641813455855499, 4.174208114206612, 4.51688526812817]",0,0,True,1
output/blocks_gr7/,0.5,KL2,"[0.6685843334926393, 5.73099751036338, 4.173905562954522, 1.1291256208322022]",0,0,True,1
output/blocks_gr7/,0.7,MaxUtil,"[-1.2553334225881618, -0.08772072551352565, -0.00010046810423591517, -4.831229188952882e-05]",0,0,True,1
output/blocks_gr7/,0.7,DP,"[-6, 0, 0, 0]",0,0,True,1
